Pavarde          Vardas           ND1              ND2              ND3              ND4              ND5              Egz.             
Pavarde2870      Vardas2870       9                9                6                6                5                6                
Pavarde2871      Vardas2871       5                6                9                5                0                4                
Pavarde2872      Vardas2872       2                0                2                8                9                7                
Pavarde2873      Vardas2873       2                7                7                2                9                5                
Pavarde2874      Vardas2874       10               9                0                3                6                1                
Pavarde2875      Vardas2875       0                4                6                8                8                3                
Pavarde2876      Vardas2876       5                7                5                6                7                6                
Pavarde2877      Vardas2877       7                9                6                6                8                0                
Pavarde2878      Vardas2878       2                4                2                2                5                5                
Pavarde2879      Vardas2879       2                10               2                6                5                5                
Pavarde2880      Vardas2880       10               2                7                3                10               3                
Pavarde2881      Vardas2881       3                6                10               6                5                3                
Pavarde2882      Vardas2882       7                6                3                10               9                3                
Pavarde2883      Vardas2883       8                4                8                0                10               6                
Pavarde2884      Vardas2884       0                7                5                7                1                6                
Pavarde2885      Vardas2885       10               10               10               7                4                8                
Pavarde2886      Vardas2886       1                7                3                8                0                0                
Pavarde2887      Vardas2887       4                3                8                4                0                4                
Pavarde2888      Vardas2888       2                6                10               0                9                8                
Pavarde2889      Vardas2889       9                0                2                1                8                7                
Pavarde2890      Vardas2890       4                8                1                0                7                5                
Pavarde2891      Vardas2891       7                0                2                9                8                8                
Pavarde2892      Vardas2892       9                7                10               5                9                1                
Pavarde2893      Vardas2893       4                1                4                2                5                3                
Pavarde2894      Vardas2894       10               7                2                5                8                8                
Pavarde2895      Vardas2895       9                10               1                3                6                7                
Pavarde2896      Vardas2896       3                4                0                6                2                3                
Pavarde2897      Vardas2897       2                9                4                9                5                2                
Pavarde2898      Vardas2898       9                7                10               5                3                7                
Pavarde2899      Vardas2899       7                0                8                2                0                0                
Pavarde2900      Vardas2900       7                0                1                2                0                2                
Pavarde2901      Vardas2901       8                0                7                5                7                5                
Pavarde2902      Vardas2902       0                10               9                5                10               3                
Pavarde2903      Vardas2903       3                1                6                5                8                9                
Pavarde2904      Vardas2904       6                0                0                2                7                5                
Pavarde2905      Vardas2905       10               3                7                0                1                8                
Pavarde2906      Vardas2906       9                8                4                10               1                9                
Pavarde2907      Vardas2907       6                0                6                6                10               7                
Pavarde2908      Vardas2908       3                4                10               2                10               8                
Pavarde2909      Vardas2909       5                7                2                10               3                4                
Pavarde2910      Vardas2910       10               2                3                7                6                4                
Pavarde2911      Vardas2911       4                3                6                4                4                10               
Pavarde2912      Vardas2912       4                9                1                7                0                5                
Pavarde2913      Vardas2913       0                7                9                1                2                6                
Pavarde2914      Vardas2914       5                10               10               9                8                9                
Pavarde2915      Vardas2915       6                4                3                8                2                9                
Pavarde2916      Vardas2916       0                6                0                10               10               5                
Pavarde2917      Vardas2917       9                7                8                5                10               4                
Pavarde2918      Vardas2918       9                4                6                10               1                10               
Pavarde2919      Vardas2919       1                1                3                4                3                5                
Pavarde2920      Vardas2920       1                3                0                1                9                8                
Pavarde2921      Vardas2921       6                0                0                3                0                8                
Pavarde2922      Vardas2922       7                6                2                3                9                5                
Pavarde2923      Vardas2923       10               7                3                8                9                6                
Pavarde2924      Vardas2924       3                2                0                9                10               9                
Pavarde2925      Vardas2925       5                2                9                10               0                3                
Pavarde2926      Vardas2926       0                10               10               3                7                1                
Pavarde2927      Vardas2927       8                7                3                4                2                2                
Pavarde2928      Vardas2928       0                0                0                10               10               8                
Pavarde2929      Vardas2929       9                7                1                6                4                0                
Pavarde2930      Vardas2930       0                0                3                5                8                7                
Pavarde2931      Vardas2931       4                6                2                3                6                5                
Pavarde2932      Vardas2932       3                0                8                6                9                6                
Pavarde2933      Vardas2933       6                4                7                10               6                3                
Pavarde2934      Vardas2934       7                7                1                0                9                4                
Pavarde2935      Vardas2935       8                4                2                5                1                1                
Pavarde2936      Vardas2936       2                2                8                2                6                6                
Pavarde2937      Vardas2937       4                6                0                6                0                10               
Pavarde2938      Vardas2938       7                10               3                6                10               8                
Pavarde2939      Vardas2939       10               1                2                1                10               5                
Pavarde2940      Vardas2940       10               8                2                0                3                3                
Pavarde2941      Vardas2941       1                3                1                8                3                6                
Pavarde2942      Vardas2942       4                10               0                0                8                2                
Pavarde2943      Vardas2943       4                4                4                4                6                7                
Pavarde2944      Vardas2944       6                4                9                9                4                7                
Pavarde2945      Vardas2945       5                5                4                10               7                1                
Pavarde2946      Vardas2946       9                3                2                0                8                1                
Pavarde2947      Vardas2947       4                7                9                3                0                5                
Pavarde2948      Vardas2948       8                7                2                10               8                10               
Pavarde2949      Vardas2949       1                1                5                4                2                9                
Pavarde2950      Vardas2950       9                9                4                5                10               3                
Pavarde2951      Vardas2951       6                6                3                6                9                5                
Pavarde2952      Vardas2952       10               8                5                6                1                1                
Pavarde2953      Vardas2953       7                2                9                4                8                2                
Pavarde2954      Vardas2954       2                9                4                5                2                1                
Pavarde2955      Vardas2955       2                2                1                5                3                8                
Pavarde2956      Vardas2956       4                4                5                5                2                3                
Pavarde2957      Vardas2957       5                3                9                6                3                9                
Pavarde2958      Vardas2958       5                5                5                4                2                5                
Pavarde2959      Vardas2959       9                7                3                0                5                9                
Pavarde2960      Vardas2960       9                3                1                7                0                5                
Pavarde2961      Vardas2961       4                3                4                8                4                2                
Pavarde2962      Vardas2962       1                7                0                3                2                2                
Pavarde2963      Vardas2963       8                3                10               9                4                10               
Pavarde2964      Vardas2964       6                5                4                6                5                0                
Pavarde2965      Vardas2965       3                4                6                3                7                4                
Pavarde2966      Vardas2966       0                6                6                2                8                3                
Pavarde2967      Vardas2967       9                5                5                0                3                10               
Pavarde2968      Vardas2968       2                0                2                3                6                6                
Pavarde2969      Vardas2969       3                9                1                5                3                3                
Pavarde2970      Vardas2970       2                0                5                0                6                3                
Pavarde2971      Vardas2971       4                6                9                1                5                1                
Pavarde2972      Vardas2972       10               2                4                4                8                10               
Pavarde2973      Vardas2973       9                7                6                5                9                4                
Pavarde2974      Vardas2974       5                6                6                8                5                5                
Pavarde2975      Vardas2975       1                7                0                7                3                7                
Pavarde2976      Vardas2976       2                6                5                3                10               10               
Pavarde2977      Vardas2977       6                7                9                10               4                5                
Pavarde2978      Vardas2978       4                8                7                6                4                2                
Pavarde2979      Vardas2979       5                4                6                2                10               1                
Pavarde2980      Vardas2980       9                9                3                8                2                4                
Pavarde2981      Vardas2981       9                9                1                4                1                2                
Pavarde2982      Vardas2982       9                3                10               4                9                1                
Pavarde2983      Vardas2983       5                5                7                1                8                9                
Pavarde2984      Vardas2984       3                1                9                6                1                4                
Pavarde2985      Vardas2985       5                6                8                6                5                0                
Pavarde2986      Vardas2986       0                10               9                10               10               7                
Pavarde2987      Vardas2987       7                1                10               7                2                6                
Pavarde2988      Vardas2988       8                9                5                5                0                9                
Pavarde2989      Vardas2989       6                2                2                7                10               6                
Pavarde2990      Vardas2990       9                8                8                0                2                2                
Pavarde2991      Vardas2991       10               2                0                0                9                4                
Pavarde2992      Vardas2992       2                8                10               6                9                4                
Pavarde2993      Vardas2993       2                4                8                3                6                0                
Pavarde2994      Vardas2994       9                7                8                7                8                1                
Pavarde2995      Vardas2995       0                3                8                7                5                9                
Pavarde2996      Vardas2996       9                0                7                7                4                5                
Pavarde2997      Vardas2997       10               3                3                4                7                7                
Pavarde2998      Vardas2998       9                10               0                7                8                6                
Pavarde2999      Vardas2999       0                0                2                4                1                5                
Pavarde3000      Vardas3000       10               3                8                10               8                9                
Pavarde3001      Vardas3001       4                9                5                7                0                7                
Pavarde3002      Vardas3002       4                4                0                9                0                4                
Pavarde3003      Vardas3003       0                0                4                9                6                5                
Pavarde3004      Vardas3004       10               2                4                5                4                2                
Pavarde3005      Vardas3005       5                3                2                4                7                4                
Pavarde3006      Vardas3006       8                5                7                8                8                6                
Pavarde3007      Vardas3007       8                2                3                7                9                6                
Pavarde3008      Vardas3008       5                8                3                2                7                9                
Pavarde3009      Vardas3009       7                5                8                5                4                9                
Pavarde3010      Vardas3010       8                0                4                2                5                5                
Pavarde3011      Vardas3011       7                4                4                10               5                2                
Pavarde3012      Vardas3012       6                7                8                4                2                5                
Pavarde3013      Vardas3013       8                4                3                2                10               6                
Pavarde3014      Vardas3014       3                8                6                0                8                10               
Pavarde3015      Vardas3015       10               3                5                1                1                6                
Pavarde3016      Vardas3016       2                10               1                3                8                3                
Pavarde3017      Vardas3017       5                7                1                7                1                8                
Pavarde3018      Vardas3018       5                10               8                9                7                0                
Pavarde3019      Vardas3019       10               5                4                5                7                7                
Pavarde3020      Vardas3020       4                2                3                7                6                8                
Pavarde3021      Vardas3021       4                3                3                0                2                8                
Pavarde3022      Vardas3022       5                2                1                3                6                5                
Pavarde3023      Vardas3023       9                2                1                6                7                2                
Pavarde3024      Vardas3024       3                3                1                10               2                10               
Pavarde3025      Vardas3025       4                6                7                9                8                7                
Pavarde3026      Vardas3026       3                2                10               0                10               4                
Pavarde3027      Vardas3027       5                9                3                2                9                5                
Pavarde3028      Vardas3028       0                0                10               9                3                8                
Pavarde3029      Vardas3029       10               7                1                5                7                9                
Pavarde3030      Vardas3030       0                0                8                8                3                10               
Pavarde3031      Vardas3031       2                3                8                1                3                4                
Pavarde3032      Vardas3032       1                5                10               10               0                9                
Pavarde3033      Vardas3033       4                10               4                6                7                3                
Pavarde3034      Vardas3034       0                9                9                5                7                7                
Pavarde3035      Vardas3035       10               10               0                2                7                1                
Pavarde3036      Vardas3036       3                1                2                6                10               9                
Pavarde3037      Vardas3037       4                0                0                1                4                6                
Pavarde3038      Vardas3038       1                6                4                7                10               1                
Pavarde3039      Vardas3039       3                7                4                5                3                4                
Pavarde3040      Vardas3040       1                7                8                10               4                6                
Pavarde3041      Vardas3041       4                5                1                5                10               0                
Pavarde3042      Vardas3042       9                2                0                3                4                8                
Pavarde3043      Vardas3043       2                9                5                7                3                3                
Pavarde3044      Vardas3044       3                2                8                9                6                4                
Pavarde3045      Vardas3045       1                3                9                7                8                2                
Pavarde3046      Vardas3046       2                4                5                4                8                10               
Pavarde3047      Vardas3047       7                9                7                9                9                2                
Pavarde3048      Vardas3048       5                5                8                1                7                6                
Pavarde3049      Vardas3049       0                4                10               8                6                5                
Pavarde3050      Vardas3050       2                5                5                7                8                5                
Pavarde3051      Vardas3051       2                1                6                3                5                2                
Pavarde3052      Vardas3052       8                9                9                1                2                6                
Pavarde3053      Vardas3053       10               0                10               1                9                2                
Pavarde3054      Vardas3054       1                6                6                2                3                7                
Pavarde3055      Vardas3055       4                9                6                5                6                0                
Pavarde3056      Vardas3056       4                7                2                8                7                7                
Pavarde3057      Vardas3057       6                4                9                4                3                5                
Pavarde3058      Vardas3058       4                4                3                3                10               8                
Pavarde3059      Vardas3059       2                1                6                6                4                0                
Pavarde3060      Vardas3060       6                3                10               8                5                5                
Pavarde3061      Vardas3061       3                7                6                4                3                1                
Pavarde3062      Vardas3062       4                1                5                9                6                1                
Pavarde3063      Vardas3063       9                9                3                3                7                0                
Pavarde3064      Vardas3064       2                6                1                3                5                8                
Pavarde3065      Vardas3065       7                9                4                3                3                2                
Pavarde3066      Vardas3066       9                4                0                6                7                4                
Pavarde3067      Vardas3067       3                10               10               6                9                8                
Pavarde3068      Vardas3068       7                0                6                5                6                5                
Pavarde3069      Vardas3069       5                5                7                8                8                4                
Pavarde3070      Vardas3070       3                6                4                6                10               5                
Pavarde3071      Vardas3071       8                10               4                5                1                10               
Pavarde3072      Vardas3072       4                7                0                1                0                6                
Pavarde3073      Vardas3073       2                8                6                1                1                2                
Pavarde3074      Vardas3074       2                0                7                4                10               5                
Pavarde3075      Vardas3075       9                6                6                1                2                9                
Pavarde3076      Vardas3076       7                7                9                2                1                1                
Pavarde3077      Vardas3077       6                4                3                3                9                10               
Pavarde3078      Vardas3078       9                2                2                7                9                7                
Pavarde3079      Vardas3079       9                8                10               2                3                8                
Pavarde3080      Vardas3080       1                4                10               2                8                0                
Pavarde3081      Vardas3081       5                4                6                7                0                10               
Pavarde3082      Vardas3082       8                4                0                7                10               7                
Pavarde3083      Vardas3083       9                0                2                3                9                9                
Pavarde3084      Vardas3084       10               8                7                6                8                6                
Pavarde3085      Vardas3085       9                8                6                9                2                2                
Pavarde3086      Vardas3086       0                8                5                7                1                8                
Pavarde3087      Vardas3087       4                9                1                10               10               3                
Pavarde3088      Vardas3088       6                9                10               2                0                2                
Pavarde3089      Vardas3089       6                7                6                10               6                4                
Pavarde3090      Vardas3090       1                5                4                1                5                5                
Pavarde3091      Vardas3091       8                7                1                0                9                8                
Pavarde3092      Vardas3092       4                8                1                5                10               3                
Pavarde3093      Vardas3093       4                7                0                4                7                0                
Pavarde3094      Vardas3094       0                9                6                3                10               3                
Pavarde3095      Vardas3095       8                0                10               7                3                10               
Pavarde3096      Vardas3096       10               10               0                9                0                6                
Pavarde3097      Vardas3097       2                9                9                3                6                4                
Pavarde3098      Vardas3098       8                10               3                9                3                7                
Pavarde3099      Vardas3099       3                9                3                7                8                9                
Pavarde3100      Vardas3100       7                7                9                10               10               8                
Pavarde3101      Vardas3101       0                7                3                1                8                10               
Pavarde3102      Vardas3102       3                0                9                9                1                2                
Pavarde3103      Vardas3103       2                7                5                9                2                0                
Pavarde3104      Vardas3104       1                6                10               9                4                10               
Pavarde3105      Vardas3105       7                1                9                3                3                9                
Pavarde3106      Vardas3106       7                4                10               7                6                7                
Pavarde3107      Vardas3107       7                8                10               6                7                7                
Pavarde3108      Vardas3108       10               2                10               6                7                6                
Pavarde3109      Vardas3109       4                10               7                3                0                2                
Pavarde3110      Vardas3110       2                2                7                9                2                4                
Pavarde3111      Vardas3111       2                9                8                5                5                5                
Pavarde3112      Vardas3112       7                9                10               10               6                0                
Pavarde3113      Vardas3113       5                9                9                7                7                10               
Pavarde3114      Vardas3114       9                3                9                4                4                0                
Pavarde3115      Vardas3115       3                8                4                0                9                8                
Pavarde3116      Vardas3116       7                2                7                1                8                2                
Pavarde3117      Vardas3117       2                0                0                5                10               4                
Pavarde3118      Vardas3118       0                8                7                9                3                3                
Pavarde3119      Vardas3119       6                8                8                8                4                10               
Pavarde3120      Vardas3120       4                2                8                4                6                0                
Pavarde3121      Vardas3121       1                10               9                0                10               7                
Pavarde3122      Vardas3122       5                4                9                5                4                0                
Pavarde3123      Vardas3123       0                2                8                7                4                0                
Pavarde3124      Vardas3124       10               5                4                5                8                2                
Pavarde3125      Vardas3125       3                10               1                3                5                7                
Pavarde3126      Vardas3126       7                0                9                8                7                5                
Pavarde3127      Vardas3127       6                4                1                3                7                5                
Pavarde3128      Vardas3128       10               4                10               10               9                1                
Pavarde3129      Vardas3129       5                6                2                4                5                9                
Pavarde3130      Vardas3130       6                10               0                8                8                10               
Pavarde3131      Vardas3131       8                10               1                8                1                3                
Pavarde3132      Vardas3132       7                1                4                7                3                0                
Pavarde3133      Vardas3133       9                9                4                2                9                5                
Pavarde3134      Vardas3134       4                7                4                6                6                7                
Pavarde3135      Vardas3135       9                9                5                10               1                4                
Pavarde3136      Vardas3136       5                5                3                6                6                3                
Pavarde3137      Vardas3137       1                8                10               6                6                4                
Pavarde3138      Vardas3138       7                1                10               0                0                7                
Pavarde3139      Vardas3139       7                1                5                7                7                8                
Pavarde3140      Vardas3140       4                4                7                0                1                9                
Pavarde3141      Vardas3141       3                8                4                0                7                9                
Pavarde3142      Vardas3142       6                5                5                5                7                5                
Pavarde3143      Vardas3143       0                6                6                9                5                5                
Pavarde3144      Vardas3144       4                5                0                3                1                8                
Pavarde3145      Vardas3145       1                10               4                4                2                1                
Pavarde3146      Vardas3146       9                1                0                8                9                2                
Pavarde3147      Vardas3147       0                5                7                6                4                5                
Pavarde3148      Vardas3148       8                10               3                7                2                8                
Pavarde3149      Vardas3149       6                4                7                2                3                0                
Pavarde3150      Vardas3150       5                5                7                5                4                1                
Pavarde3151      Vardas3151       10               3                0                3                1                10               
Pavarde3152      Vardas3152       7                0                7                6                5                9                
Pavarde3153      Vardas3153       1                9                7                8                0                5                
Pavarde3154      Vardas3154       2                6                3                7                5                8                
Pavarde3155      Vardas3155       5                4                4                8                6                0                
Pavarde3156      Vardas3156       1                6                8                10               10               10               
Pavarde3157      Vardas3157       6                10               3                3                9                7                
Pavarde3158      Vardas3158       4                5                4                2                1                1                
Pavarde3159      Vardas3159       1                1                10               8                1                3                
Pavarde3160      Vardas3160       9                5                7                2                9                4                
Pavarde3161      Vardas3161       2                6                8                3                6                8                
Pavarde3162      Vardas3162       2                9                7                9                3                5                
Pavarde3163      Vardas3163       2                2                8                9                8                6                
Pavarde3164      Vardas3164       6                9                8                1                5                5                
Pavarde3165      Vardas3165       4                1                2                9                10               3                
Pavarde3166      Vardas3166       9                3                2                3                7                5                
Pavarde3167      Vardas3167       6                1                9                10               7                0                
Pavarde3168      Vardas3168       1                4                10               7                1                6                
Pavarde3169      Vardas3169       5                0                6                6                0                4                
Pavarde3170      Vardas3170       3                3                2                6                8                4                
Pavarde3171      Vardas3171       10               10               3                6                4                2                
Pavarde3172      Vardas3172       9                10               3                5                2                1                
Pavarde3173      Vardas3173       6                2                5                8                9                2                
Pavarde3174      Vardas3174       10               2                6                3                4                2                
Pavarde3175      Vardas3175       7                9                6                4                3                2                
Pavarde3176      Vardas3176       9                6                4                8                0                4                
Pavarde3177      Vardas3177       0                10               10               1                1                6                
Pavarde3178      Vardas3178       5                5                9                6                6                7                
Pavarde3179      Vardas3179       3                10               4                5                7                2                
Pavarde3180      Vardas3180       9                6                4                1                6                9                
Pavarde3181      Vardas3181       2                2                3                3                0                9                
Pavarde3182      Vardas3182       9                9                3                1                6                8                
Pavarde3183      Vardas3183       1                7                0                0                10               6                
Pavarde3184      Vardas3184       0                7                8                7                9                1                
Pavarde3185      Vardas3185       2                1                0                8                1                1                
Pavarde3186      Vardas3186       5                7                0                7                9                1                
Pavarde3187      Vardas3187       2                3                7                4                7                2                
Pavarde3188      Vardas3188       5                6                3                2                9                1                
Pavarde3189      Vardas3189       10               9                10               3                2                1                
Pavarde3190      Vardas3190       7                0                2                5                5                9                
Pavarde3191      Vardas3191       10               0                4                3                10               7                
Pavarde3192      Vardas3192       0                1                3                10               1                5                
Pavarde3193      Vardas3193       9                5                2                8                0                1                
Pavarde3194      Vardas3194       2                0                7                8                1                4                
Pavarde3195      Vardas3195       5                0                1                1                7                6                
Pavarde3196      Vardas3196       5                1                3                3                5                1                
